State	PresidentialCandidate	Electoral Vote	Popular Vote	Year	PoliticalParty
Louisiana	Others	0	0	1824.0	-
Maine	Andrew Jackson	0	0	1824.0	Democratic-Republican
Maine	John Quincy Adams	9	10,289	1824.0	Democratic-Republican
Maine	Henry Clay	0	0	1824.0	Democratic-Republican
Maine	William Crawford	0	2,336	1824.0	Democratic-Republican
Maine	Others	0	0	1824.0	-
Maryland	Andrew Jackson	7	14,523	1824.0	Democratic-Republican
Maryland	John Quincy Adams	3	14,632	1824.0	Democratic-Republican
Maryland	Henry Clay	1	695	1824.0	Democratic-Republican
Maryland	William Crawford	0	3,364	1824.0	Democratic-Republican
Maryland	Others	0	0	1824.0	-
Massachusetts	Andrew Jackson	0	0	1824.0	Democratic-Republican
Massachusetts	John Quincy Adams	15	30,687	1824.0	Democratic-Republican
Massachusetts	Henry Clay	0	0	1824.0	Democratic-Republican
Massachusetts	William Crawford	0	0	1824.0	Democratic-Republican
Massachusetts	Others	0	11,369	1824.0	-
Mississippi	Andrew Jackson	3	3,121	1824.0	Democratic-Republican
Mississippi	John Quincy Adams	0	1,654	1824.0	Democratic-Republican
Mississippi	Henry Clay	0	0	1824.0	Democratic-Republican
Mississippi	William Crawford	0	119	1824.0	Democratic-Republican
Mississippi	Others	0	0	1824.0	-
Missouri	Andrew Jackson	0	1,166	1824.0	Democratic-Republican
Missouri	John Quincy Adams	0	159	1824.0	Democratic-Republican
Missouri	Henry Clay	0	2,042	1824.0	Democratic-Republican
Missouri	William Crawford	3	32	1824.0	Democratic-Republican
Missouri	Others	0	33	1824.0	-
New Hampshire	Andrew Jackson	0	0	1824.0	Democratic-Republican
New Hampshire	John Quincy Adams	8	9,389	1824.0	Democratic-Republican
New Hampshire	Henry Clay	0	0	1824.0	Democratic-Republican
New Hampshire	William Crawford	0	643	1824.0	Democratic-Republican
New Hampshire	Others	0	0	1824.0	-
New Jersey	Andrew Jackson	8	10,332	1824.0	Democratic-Republican
New Jersey	John Quincy Adams	0	8,309	1824.0	Democratic-Republican
New Jersey	Henry Clay	0	0	1824.0	Democratic-Republican
New Jersey	William Crawford	0	1,196	1824.0	Democratic-Republican
New Jersey	Others	0	0	1824.0	-
New York	Andrew Jackson	1	0	1824.0	Democratic-Republican
New York	John Quincy Adams	26	0	1824.0	Democratic-Republican
New York	Henry Clay	5	0	1824.0	Democratic-Republican
New York	William Crawford	4	0	1824.0	Democratic-Republican
New York	Others	0	0	1824.0	-
North Carolina	Andrew Jackson	15	20,231	1824.0	Democratic-Republican
North Carolina	John Quincy Adams	0	0	1824.0	Democratic-Republican
North Carolina	Henry Clay	0	0	1824.0	Democratic-Republican
North Carolina	William Crawford	0	15,622	1824.0	Democratic-Republican
North Carolina	Others	0	256	1824.0	-
Ohio	Andrew Jackson	0	18,489	1824.0	Democratic-Republican
Ohio	John Quincy Adams	0	12,280	1824.0	Democratic-Republican
Ohio	Henry Clay	0	19,255	1824.0	Democratic-Republican
Ohio	William Crawford	16	0	1824.0	Democratic-Republican
Ohio	Others	0	0	1824.0	-
Pennsylvania	Andrew Jackson	28	35,929	1824.0	Democratic-Republican
Pennsylvania	John Quincy Adams	0	5,436	1824.0	Democratic-Republican
Pennsylvania	Henry Clay	0	1,705	1824.0	Democratic-Republican
Pennsylvania	William Crawford	0	4,182	1824.0	Democratic-Republican
Pennsylvania	Others	0	0	1824.0	-
Rhode Island	Andrew Jackson	0	0	1824.0	Democratic-Republican
Rhode Island	John Quincy Adams	4	2,145	1824.0	Democratic-Republican
Rhode Island	Henry Clay	0	0	1824.0	Democratic-Republican
Rhode Island	William Crawford	0	200	1824.0	Democratic-Republican
Rhode Island	Others	0	0	1824.0	-
South Carolina	Andrew Jackson	11	0	1824.0	Democratic-Republican
South Carolina	John Quincy Adams	0	0	1824.0	Democratic-Republican
South Carolina	Henry Clay	0	0	1824.0	Democratic-Republican
South Carolina	William Crawford	0	0	1824.0	Democratic-Republican
South Carolina	Others	0	0	1824.0	-
Tennessee	Andrew Jackson	11	20,197	1824.0	Democratic-Republican
Tennessee	John Quincy Adams	0	216	1824.0	Democratic-Republican
Tennessee	Henry Clay	0	0	1824.0	Democratic-Republican
Tennessee	William Crawford	0	312	1824.0	Democratic-Republican
Tennessee	Others	0	0	1824.0	-
Vermont	Andrew Jackson	0	0	1824.0	Democratic-Republican
Vermont	John Quincy Adams	7	0	1824.0	Democratic-Republican
Vermont	Henry Clay	0	0	1824.0	Democratic-Republican
Vermont	William Crawford	0	0	1824.0	Democratic-Republican
Vermont	Others	0	0	1824.0	-
Alabama	Andrew Jackson	5	16,736	1828.0	Democratic
Alabama	John Quincy Adams	0	1,878	1828.0	Nat'l Republican
Alabama	Others	0	4	1828.0	-
Connecticut	Andrew Jackson	0	4,448	1828.0	Democratic
Connecticut	John Quincy Adams	8	13,829	1828.0	Nat'l Republican
Connecticut	Others	0	1,101	1828.0	-
Delaware	Andrew Jackson	0	0	1828.0	Democratic
Delaware	John Quincy Adams	3	0	1828.0	Nat'l Republican
Delaware	Others	0	0	1828.0	-
Georgia	Andrew Jackson	9	19,362	1828.0	Democratic
Georgia	John Quincy Adams	0	642	1828.0	Nat'l Republican
Georgia	Others	0	0	1828.0	-
Illinois	Andrew Jackson	3	9,560	1828.0	Democratic
Illinois	John Quincy Adams	0	4,662	1828.0	Nat'l Republican
Illinois	Others	0	0	1828.0	-
Indiana	Andrew Jackson	5	22,257	1828.0	Democratic
Indiana	John Quincy Adams	0	17,052	1828.0	Nat'l Republican
Indiana	Others	0	0	1828.0	-
Kentucky	Andrew Jackson	14	39,308	1828.0	Democratic
Kentucky	John Quincy Adams	0	31,468	1828.0	Nat'l Republican
Kentucky	Others	0	0	1828.0	-
Louisiana	Andrew Jackson	5	4,605	1828.0	Democratic
Louisiana	John Quincy Adams	0	4,082	1828.0	Nat'l Republican
Louisiana	Others	0	0	1828.0	-
Maine	Andrew Jackson	1	13,927	1828.0	Democratic
Maine	John Quincy Adams	8	20,773	1828.0	Nat'l Republican
Maine	Others	0	89	1828.0	-
Maryland	Andrew Jackson	5	22,782	1828.0	Democratic
Maryland	John Quincy Adams	6	23,014	1828.0	Nat'l Republican
Maryland	Others	0	0	1828.0	-
Massachusetts	Andrew Jackson	0	6,012	1828.0	Democratic
Massachusetts	John Quincy Adams	15	29,836	1828.0	Nat'l Republican
Massachusetts	Others	0	3,226	1828.0	-
Mississippi	Andrew Jackson	3	6,763	1828.0	Democratic
Mississippi	John Quincy Adams	0	1,581	1828.0	Nat'l Republican
Mississippi	Others	0	0	1828.0	-
Missouri	Andrew Jackson	3	8,232	1828.0	Democratic
Missouri	John Quincy Adams	0	3,422	1828.0	Nat'l Republican
Missouri	Others	0	0	1828.0	-
New Hampshire	Andrew Jackson	0	20,212	1828.0	Democratic
New Hampshire	John Quincy Adams	8	23,823	1828.0	Nat'l Republican
New Hampshire	Others	0	0	1828.0	-
New Jersey	Andrew Jackson	0	21,809	1828.0	Democratic
New Jersey	John Quincy Adams	8	23,753	1828.0	Nat'l Republican
New Jersey	Others	0	8	1828.0	-
New York	Andrew Jackson	20	139,412	1828.0	Democratic
New York	John Quincy Adams	16	131,563	1828.0	Nat'l Republican
New York	Others	0	0	1828.0	-
North Carolina	Andrew Jackson	15	37,814	1828.0	Democratic
North Carolina	John Quincy Adams	0	13,918	1828.0	Nat'l Republican
North Carolina	Others	0	15	1828.0	-
Ohio	Andrew Jackson	16	67,597	1828.0	Democratic
Ohio	John Quincy Adams	0	63,396	1828.0	Nat'l Republican
Ohio	Others	0	0	1828.0	-
Pennsylvania	Andrew Jackson	28	101,652	1828.0	Democratic
Pennsylvania	John Quincy Adams	0	50,848	1828.0	Nat'l Republican
Pennsylvania	Others	0	0	1828.0	-
Rhode Island	Andrew Jackson	0	821	1828.0	Democratic
Rhode Island	John Quincy Adams	4	2,754	1828.0	Nat'l Republican
Rhode Island	Others	0	0	1828.0	-
South Carolina	Andrew Jackson	11	0	1828.0	Democratic
South Carolina	John Quincy Adams	0	0	1828.0	Nat'l Republican
South Carolina	Others	0	0	1828.0	-
Tennessee	Andrew Jackson	11	44,293	1828.0	Democratic
Tennessee	John Quincy Adams	0	2,240	1828.0	Nat'l Republican
Tennessee	Others	0	0	1828.0	-
Vermont	Andrew Jackson	0	8,350	1828.0	Democratic
Vermont	John Quincy Adams	7	25,363	1828.0	Nat'l Republican
Vermont	Others	0	0	1828.0	-
Alabama	Andrew Jackson	7	14,286	1832.0	Democratic
Alabama	Henry Clay	0	5	1832.0	Nat'l Republican
Alabama	William Wirt	0	0	1832.0	Anti-Masonic
Alabama	Others	0	0	1832.0	-
Connecticut	Andrew Jackson	0	11,269	1832.0	Democratic
Connecticut	Henry Clay	8	18,155	1832.0	Nat'l Republican
Connecticut	William Wirt	0	3,409	1832.0	Anti-Masonic
Connecticut	Others	0	0	1832.0	-
Delaware	Andrew Jackson	0	4,110	1832.0	Democratic
Delaware	Henry Clay	3	4,276	1832.0	Nat'l Republican
Delaware	William Wirt	0	0	1832.0	Anti-Masonic
Delaware	Others	0	0	1832.0	-
Georgia	Andrew Jackson	11	20,750	1832.0	Democratic
Georgia	Henry Clay	0	0	1832.0	Nat'l Republican
Georgia	William Wirt	0	0	1832.0	Anti-Masonic
Georgia	Others	0	0	1832.0	-
Illinois	Andrew Jackson	5	14,609	1832.0	Democratic
Illinois	Henry Clay	0	6,745	1832.0	Nat'l Republican
Illinois	William Wirt	0	97	1832.0	Anti-Masonic
Illinois	Others	0	30	1832.0	-
Indiana	Andrew Jackson	9	31,551	1832.0	Democratic
Indiana	Henry Clay	0	15,472	1832.0	Nat'l Republican
Indiana	William Wirt	0	0	1832.0	Anti-Masonic
Indiana	Others	0	0	1832.0	-
Kentucky	Andrew Jackson	0	36,292	1832.0	Democratic
Kentucky	Henry Clay	15	43,449	1832.0	Nat'l Republican
Kentucky	William Wirt	0	0	1832.0	Anti-Masonic
Kentucky	Others	0	0	1832.0	-
Louisiana	Andrew Jackson	5	3,908	1832.0	Democratic
Louisiana	Henry Clay	0	2,429	1832.0	Nat'l Republican
Louisiana	William Wirt	0	0	1832.0	Anti-Masonic
Louisiana	Others	0	0	1832.0	-
Maine	Andrew Jackson	10	33,978	1832.0	Democratic
Maine	Henry Clay	0	27,331	1832.0	Nat'l Republican
Maine	William Wirt	0	844	1832.0	Anti-Masonic
Maine	Others	0	0	1832.0	-
Maryland	Andrew Jackson	3	19,156	1832.0	Democratic
Maryland	Henry Clay	5	19,160	1832.0	Nat'l Republican
Maryland	William Wirt	0	0	1832.0	Anti-Masonic
Maryland	Others	0	0	1832.0	-
Massachusetts	Andrew Jackson	0	13,933	1832.0	Democratic
Massachusetts	Henry Clay	14	31,963	1832.0	Nat'l Republican
Massachusetts	William Wirt	0	14,692	1832.0	Anti-Masonic
Massachusetts	Others	0	7,031	1832.0	-
Mississippi	Andrew Jackson	4	5,750	1832.0	Democratic
Mississippi	Henry Clay	0	0	1832.0	Nat'l Republican
Mississippi	William Wirt	0	0	1832.0	Anti-Masonic
Mississippi	Others	0	0	1832.0	-
Missouri	Andrew Jackson	4	5,192	1832.0	Democratic
Missouri	Henry Clay	0	0	1832.0	Nat'l Republican
Missouri	William Wirt	0	0	1832.0	Anti-Masonic
Missouri	Others	0	0	1832.0	-
New Hampshire	Andrew Jackson	7	24,855	1832.0	Democratic
New Hampshire	Henry Clay	0	18,938	1832.0	Nat'l Republican
New Hampshire	William Wirt	0	0	1832.0	Anti-Masonic
New Hampshire	Others	0	0	1832.0	-
New Jersey	Andrew Jackson	8	23,826	1832.0	Democratic
New Jersey	Henry Clay	0	23,466	1832.0	Nat'l Republican
New Jersey	William Wirt	0	468	1832.0	Anti-Masonic
New Jersey	Others	0	0	1832.0	-
New York	Andrew Jackson	42	168,497	1832.0	Democratic
New York	Henry Clay	0	154,896	1832.0	Nat'l Republican
New York	William Wirt	0	0	1832.0	Anti-Masonic
New York	Others	0	0	1832.0	-
North Carolina	Andrew Jackson	15	25,261	1832.0	Democratic
North Carolina	Henry Clay	0	4,538	1832.0	Nat'l Republican
North Carolina	William Wirt	0	0	1832.0	Anti-Masonic
North Carolina	Others	0	0	1832.0	-
Ohio	Andrew Jackson	21	81,246	1832.0	Democratic
Ohio	Henry Clay	0	76,539	1832.0	Nat'l Republican
Ohio	William Wirt	0	509	1832.0	Anti-Masonic
Ohio	Others	0	0	1832.0	-
Pennsylvania	Andrew Jackson	30	91,949	1832.0	Democratic
Pennsylvania	Henry Clay	0	0	1832.0	Nat'l Republican
Pennsylvania	William Wirt	0	66,689	1832.0	Anti-Masonic
Pennsylvania	Others	0	0	1832.0	-
Rhode Island	Andrew Jackson	0	2,126	1832.0	Democratic
Rhode Island	Henry Clay	4	2,810	1832.0	Nat'l Republican
Rhode Island	William Wirt	0	0	1832.0	Anti-Masonic
Rhode Island	Others	0	0	1832.0	-
Tennessee	Andrew Jackson	15	28,078	1832.0	Democratic
Tennessee	Henry Clay	0	1,347	1832.0	Nat'l Republican
Tennessee	William Wirt	0	0	1832.0	Anti-Masonic
Tennessee	Others	0	0	1832.0	-
Vermont	Andrew Jackson	0	7,870	1832.0	Democratic
Vermont	Henry Clay	0	11,152	1832.0	Nat'l Republican
Vermont	William Wirt	0	13,106	1832.0	Anti-Masonic
Vermont	Others	7	0	1832.0	-
Alabama	Martin Van Buren	7	20,638	1836.0	Democratic
Alabama	William H. Harrison	0	0	1836.0	Whig
Alabama	Hugh White	0	16,658	1836.0	Whig
Alabama	Daniel Webster	0	0	1836.0	Whig
Alabama	Other (+)	0	0	1836.0	 - 
Arkansas	Martin Van Buren	3	2,380	1836.0	Democratic
Arkansas	William H. Harrison	0	0	1836.0	Whig
Arkansas	Hugh White	0	1,334	1836.0	Whig
Arkansas	Daniel Webster	0	0	1836.0	Whig
Arkansas	Other (+)	0	0	1836.0	 - 
Connecticut	Martin Van Buren	8	19,294	1836.0	Democratic
Connecticut	William H. Harrison	0	18,799	1836.0	Whig
Connecticut	Hugh White	0	0	1836.0	Whig
Connecticut	Daniel Webster	0	0	1836.0	Whig
Connecticut	Other (+)	0	0	1836.0	 - 
Delaware	Martin Van Buren	0	4,154	1836.0	Democratic
Delaware	William H. Harrison	3	4,736	1836.0	Whig
Delaware	Hugh White	0	0	1836.0	Whig
Delaware	Daniel Webster	0	0	1836.0	Whig
Delaware	Other (+)	0	5	1836.0	 - 
Georgia	Martin Van Buren	0	22,778	1836.0	Democratic
Georgia	William H. Harrison	0	0	1836.0	Whig
Georgia	Hugh White	11	24,481	1836.0	Whig
Georgia	Daniel Webster	0	0	1836.0	Whig
Georgia	Other (+)	0	0	1836.0	 - 
Illinois	Martin Van Buren	5	18,369	1836.0	Democratic
Illinois	William H. Harrison	0	15,220	1836.0	Whig
Illinois	Hugh White	0	0	1836.0	Whig
Illinois	Daniel Webster	0	0	1836.0	Whig
Illinois	Other (+)	0	0	1836.0	 - 
Indiana	Martin Van Buren	0	32,478	1836.0	Democratic
Indiana	William H. Harrison	9	41,281	1836.0	Whig
Indiana	Hugh White	0	0	1836.0	Whig
Indiana	Daniel Webster	0	0	1836.0	Whig
Indiana	Other (+)	0	0	1836.0	 - 
Kentucky	Martin Van Buren	0	33,229	1836.0	Democratic
Kentucky	William H. Harrison	15	36,861	1836.0	Whig
Kentucky	Hugh White	0	0	1836.0	Whig
Kentucky	Daniel Webster	0	0	1836.0	Whig
Kentucky	Other (+)	0	0	1836.0	 - 
Louisiana	Martin Van Buren	5	3,842	1836.0	Democratic
Louisiana	William H. Harrison	0	0	1836.0	Whig
Louisiana	Hugh White	0	3,583	1836.0	Whig
Louisiana	Daniel Webster	0	0	1836.0	Whig
Louisiana	Other (+)	0	0	1836.0	 - 
Maine	Martin Van Buren	10	22,825	1836.0	Democratic
Maine	William H. Harrison	0	14,803	1836.0	Whig
Maine	Hugh White	0	0	1836.0	Whig
Maine	Daniel Webster	0	0	1836.0	Whig
Maine	Other (+)	0	1,112	1836.0	 - 
Maryland	Martin Van Buren	0	22,267	1836.0	Democratic
Maryland	William H. Harrison	10	25,852	1836.0	Whig
Maryland	Hugh White	0	0	1836.0	Whig
Maryland	Daniel Webster	0	0	1836.0	Whig
Maryland	Other (+)	0	0	1836.0	 - 
Massachusetts	Martin Van Buren	0	33,486	1836.0	Democratic
Massachusetts	William H. Harrison	0	0	1836.0	Whig
Massachusetts	Hugh White	0	0	1836.0	Whig
Massachusetts	Daniel Webster	14	41,201	1836.0	Whig
Massachusetts	Other (+)	0	45	1836.0	 - 
Michigan	Martin Van Buren	3	7,122	1836.0	Democratic
Michigan	William H. Harrison	0	5,545	1836.0	Whig
Michigan	Hugh White	0	0	1836.0	Whig
Michigan	Daniel Webster	0	0	1836.0	Whig
Michigan	Other (+)	0	0	1836.0	 - 
Mississippi	Martin Van Buren	4	10,297	1836.0	Democratic
Mississippi	William H. Harrison	0	0	1836.0	Whig
Mississippi	Hugh White	0	9,782	1836.0	Whig
Mississippi	Daniel Webster	0	0	1836.0	Whig
Mississippi	Other (+)	0	0	1836.0	 - 
Missouri	Martin Van Buren	4	10,995	1836.0	Democratic
Missouri	William H. Harrison	0	0	1836.0	Whig
Missouri	Hugh White	0	7,337	1836.0	Whig
Missouri	Daniel Webster	0	0	1836.0	Whig
Missouri	Other (+)	0	0	1836.0	 - 
New Hampshire	Martin Van Buren	7	18,697	1836.0	Democratic
New Hampshire	William H. Harrison	0	6,228	1836.0	Whig
New Hampshire	Hugh White	0	0	1836.0	Whig
New Hampshire	Daniel Webster	0	0	1836.0	Whig
New Hampshire	Other (+)	0	0	1836.0	 - 
New Jersey	Martin Van Buren	0	25,592	1836.0	Democratic
New Jersey	William H. Harrison	8	26,137	1836.0	Whig
New Jersey	Hugh White	0	0	1836.0	Whig
New Jersey	Daniel Webster	0	0	1836.0	Whig
New Jersey	Other (+)	0	0	1836.0	 - 
New York	Martin Van Buren	42	166,795	1836.0	Democratic
New York	William H. Harrison	0	138,548	1836.0	Whig
New York	Hugh White	0	0	1836.0	Whig
New York	Daniel Webster	0	0	1836.0	Whig
New York	Other (+)	0	0	1836.0	 - 
North Carolina	Martin Van Buren	15	26,631	1836.0	Democratic
North Carolina	William H. Harrison	0	0	1836.0	Whig
North Carolina	Hugh White	0	23,521	1836.0	Whig
North Carolina	Daniel Webster	0	0	1836.0	Whig
North Carolina	Other (+)	0	1	1836.0	 - 
Ohio	Martin Van Buren	0	96,238	1836.0	Democratic
Ohio	William H. Harrison	21	104,958	1836.0	Whig
Ohio	Hugh White	0	0	1836.0	Whig
Ohio	Daniel Webster	0	0	1836.0	Whig
Ohio	Other (+)	0	1,137	1836.0	 - 
Pennsylvania	Martin Van Buren	30	91,457	1836.0	Democratic
Pennsylvania	William H. Harrison	0	87,235	1836.0	Whig
Pennsylvania	Hugh White	0	0	1836.0	Whig
Pennsylvania	Daniel Webster	0	0	1836.0	Whig
Pennsylvania	Other (+)	0	0	1836.0	 - 
Rhode Island	Martin Van Buren	4	2,964	1836.0	Democratic
Rhode Island	William H. Harrison	0	2,710	1836.0	Whig
Rhode Island	Hugh White	0	0	1836.0	Whig
Rhode Island	Daniel Webster	0	0	1836.0	Whig
Rhode Island	Other (+)	0	0	1836.0	 - 
Tennessee	Martin Van Buren	0	26,170	1836.0	Democratic
Tennessee	William H. Harrison	0	0	1836.0	Whig
Tennessee	Hugh White	15	36,027	1836.0	Whig
Tennessee	Daniel Webster	0	0	1836.0	Whig
Tennessee	Other (+)	0	0	1836.0	 - 
Vermont	Martin Van Buren	0	14,037	1836.0	Democratic
Vermont	William H. Harrison	7	20,994	1836.0	Whig
Vermont	Hugh White	0	0	1836.0	Whig
Vermont	Daniel Webster	0	0	1836.0	Whig
Vermont	Other (+)	0	0	1836.0	 - 
Alabama	William H. Harrison	0	28,515	1840.0	Whig
Alabama	Martin Van Buren	7	33,996	1840.0	Democratic
Alabama	Other (+)	0	0	1840.0	 - 
Arkansas	William H. Harrison	0	5,160	1840.0	Whig
Arkansas	Martin Van Buren	3	6,679	1840.0	Democratic
Arkansas	Other (+)	0	0	1840.0	 - 
Connecticut	William H. Harrison	8	31,598	1840.0	Whig
Connecticut	Martin Van Buren	0	25,281	1840.0	Democratic
Connecticut	Other (+)	0	0	1840.0	 - 
Delaware	William H. Harrison	3	5,967	1840.0	Whig
Delaware	Martin Van Buren	0	4,872	1840.0	Democratic
Delaware	Other (+)	0	13	1840.0	 - 
Georgia	William H. Harrison	11	40,339	1840.0	Whig
Georgia	Martin Van Buren	0	31,983	1840.0	Democratic
Georgia	Other (+)	0	0	1840.0	 - 
Illinois	William H. Harrison	0	45,574	1840.0	Whig
Illinois	Martin Van Buren	5	47,441	1840.0	Democratic
Illinois	Other (+)	0	160	1840.0	 - 
Indiana	William H. Harrison	9	65,302	1840.0	Whig
Indiana	Martin Van Buren	0	51,604	1840.0	Democratic
Indiana	Other (+)	0	0	1840.0	 - 
Kentucky	William H. Harrison	15	58,488	1840.0	Whig
Kentucky	Martin Van Buren	0	32,616	1840.0	Democratic
Kentucky	Other (+)	0	0	1840.0	 - 
Louisiana	William H. Harrison	5	11,296	1840.0	Whig
Louisiana	Martin Van Buren	0	7,616	1840.0	Democratic
Louisiana	Other (+)	0	0	1840.0	 - 
Maine	William H. Harrison	10	46,612	1840.0	Whig
Maine	Martin Van Buren	0	46,190	1840.0	Democratic
Maine	Other (+)	0	0	1840.0	 - 
Maryland	William H. Harrison	10	33,528	1840.0	Whig
Maryland	Martin Van Buren	0	28,752	1840.0	Democratic
Maryland	Other (+)	0	0	1840.0	 - 
Massachusetts	William H. Harrison	14	72,852	1840.0	Whig
Massachusetts	Martin Van Buren	0	52,355	1840.0	Democratic
Massachusetts	Other (+)	0	1,618	1840.0	 - 
Michigan	William H. Harrison	3	22,933	1840.0	Whig
Michigan	Martin Van Buren	0	21,096	1840.0	Democratic
Michigan	Other (+)	0	321	1840.0	 - 
Mississippi	William H. Harrison	4	19,515	1840.0	Whig
Mississippi	Martin Van Buren	0	17,010	1840.0	Democratic
Mississippi	Other (+)	0	0	1840.0	 - 
Missouri	William H. Harrison	0	22,954	1840.0	Whig
Missouri	Martin Van Buren	4	29,969	1840.0	Democratic
Missouri	Other (+)	0	0	1840.0	 - 
New Hampshire	William H. Harrison	0	26,310	1840.0	Whig
New Hampshire	Martin Van Buren	7	32,774	1840.0	Democratic
New Hampshire	Other (+)	0	872	1840.0	 - 
New Jersey	William H. Harrison	8	33,351	1840.0	Whig
New Jersey	Martin Van Buren	0	31,034	1840.0	Democratic
New Jersey	Other (+)	0	69	1840.0	 - 
New York	William H. Harrison	42	226,001	1840.0	Whig
New York	Martin Van Buren	0	212,733	1840.0	Democratic
New York	Other (+)	0	2,809	1840.0	 - 
North Carolina	William H. Harrison	15	46,567	1840.0	Whig
North Carolina	Martin Van Buren	0	34,168	1840.0	Democratic
North Carolina	Other (+)	0	0	1840.0	 - 
Ohio	William H. Harrison	21	148,157	1840.0	Whig
Ohio	Martin Van Buren	0	124,782	1840.0	Democratic
Ohio	Other (+)	0	903	1840.0	 - 
Pennsylvania	William H. Harrison	30	144,010	1840.0	Whig
Pennsylvania	Martin Van Buren	0	143,676	1840.0	Democratic
Pennsylvania	Other (+)	0	340	1840.0	 - 
Rhode Island	William H. Harrison	4	5,278	1840.0	Whig
Rhode Island	Martin Van Buren	0	3,301	1840.0	Democratic
Rhode Island	Other (+)	0	42	1840.0	 - 
Tennessee	William H. Harrison	15	60,194	1840.0	Whig
Tennessee	Martin Van Buren	0	47,951	1840.0	Democratic
Tennessee	Other (+)	0	0	1840.0	 - 
Vermont	William H. Harrison	7	32,445	1840.0	Whig
Vermont	Martin Van Buren	0	18,009	1840.0	Democratic
Vermont	Other (+)	0	319	1840.0	 - 
Alabama	James K. Polk	9	37,401	1844.0	Democratic
Alabama	Henry Clay	0	26,002	1844.0	Whig
Alabama	James G. Birney	0	0	1844.0	Liberty
Alabama	Other (+)	0	0	1844.0	 - 
Arkansas	James K. Polk	3	9,546	1844.0	Democratic
Arkansas	Henry Clay	0	5,604	1844.0	Whig
Arkansas	James G. Birney	0	0	1844.0	Liberty
Arkansas	Other (+)	0	0	1844.0	 - 
Connecticut	James K. Polk	0	29,841	1844.0	Democratic
Connecticut	Henry Clay	6	32,832	1844.0	Whig
Connecticut	James G. Birney	0	1,943	1844.0	Liberty
Connecticut	Other (+)	0	0	1844.0	 - 
Delaware	James K. Polk	0	5,970	1844.0	Democratic
Delaware	Henry Clay	3	6,271	1844.0	Whig
Delaware	James G. Birney	0	0	1844.0	Liberty
Delaware	Other (+)	0	6	1844.0	 - 
Georgia	James K. Polk	10	44,147	1844.0	Democratic
Georgia	Henry Clay	0	42,100	1844.0	Whig
Georgia	James G. Birney	0	0	1844.0	Liberty
Georgia	Other (+)	0	0	1844.0	 - 
Illinois	James K. Polk	9	58,795	1844.0	Democratic
Illinois	Henry Clay	0	45,854	1844.0	Whig
Illinois	James G. Birney	0	3,469	1844.0	Liberty
Illinois	Other (+)	0	939	1844.0	 - 
Indiana	James K. Polk	12	70,181	1844.0	Democratic
Indiana	Henry Clay	0	67,867	1844.0	Whig
Indiana	James G. Birney	0	2,106	1844.0	Liberty
Indiana	Other (+)	0	0	1844.0	 - 
Kentucky	James K. Polk	0	51,988	1844.0	Democratic
Kentucky	Henry Clay	12	61,249	1844.0	Whig
Kentucky	James G. Birney	0	0	1844.0	Liberty
