PresidentialCandidate	Vice PresidentialCandidate	PoliticalParty	Popular Vote	Electoral Vote	Year
Eugene Debs	Benjamin Hanford	Socialist	420,856	0	1908.0
Eugene Chafin	Aaron Watkins	Prohibition	254,081	0	1908.0
Thomas Hisgen	John Graves	Independence	82,580	0	1908.0
Other (+)	 - 	 - 	44,411	0	1908.0
Woodrow Wilson	Thomas Marshall	Democratic	6,294,284	435	1912.0
Theodore Roosevelt	Hiram Johnson	Progressive	4,120,609	88	1912.0
William Taft	Nicholas Butler	Republican	3,487,937	8	1912.0
Eugene Debs	Emil Seidel	Socialist	900,742	0	1912.0
Eugene Chafin	Aaron Watkins	Prohibition	208,115	0	1912.0
Other (+)	 - 	 - 	33,859	0	1912.0
Woodrow Wilson	Thomas Marshall	Democratic	9,130,861	277	1916.0
Charles Hughes	Charles Fairbanks	Republican	8,549,700	254	1916.0
Allan Benson	George Kirkpatrick	Socialist	590,190	0	1916.0
James Hanly	Ira Landrith	Prohibition	221,302	0	1916.0
Other (+)	 - 	 - 	49,265	0	1916.0
Warren Harding	Calvin Coolidge	Republican	16,166,126	404	1920.0
James Cox	Franklin Roosevelt	Democratic	9,140,256	127	1920.0
Eugene Debs	Seymour Stedman	Socialist	914,191	0	1920.0
Parley Christiansen	Maximilian Hayes	Farmer-Labor	265,395	0	1920.0
Aaron Watkins	David Colvin	Prohibition	188,709	0	1920.0
Other (+)	 - 	 - 	113,548	0	1920.0
Calvin Coolidge	Charles Dawes	Republican	15,719,068	382	1924.0
John Davis	Charles Bryan	Democratic	8,384,341	136	1924.0
Robert LaFollette	Burton Wheeler	Progressive	4,833,821	13	1924.0
Other (+)	 - 	 - 	155,394	0	1924.0
Herbert Hoover	Charles Curtis	Republican	21,428,584	444	1928.0
Alfred Smith	Joseph Robinson	Democratic	15,015,863	87	1928.0
Norman Thomas	James Maurer	Socialist	267,519	0	1928.0
Other (+)	 - 	 - 	96,995	0	1928.0
Franklin Roosevelt	John Garner	Democratic	22,821,513	472	1932.0
Herbert Hoover	Charles Curtis	Republican	15,761,532	59	1932.0
Norman Thomas	James Maurer	Socialist	884,895	0	1932.0
William Foster	James Ford	Communist	103,314	0	1932.0
Other (+)	 - 	 - 	181,200	0	1932.0
Franklin Roosevelt	John Garner	Democratic	27,757,431	523	1936.0
Alfred Landon	Frank Knox	Republican	16,683,574	8	1936.0
William Lemke	Thomas O'Brian	Union	892,381	0	1936.0
Norman Thomas	George Nelson	Socialist	187,971	0	1936.0
Other (+)	 - 	 - 	133,031	0	1936.0
Franklin Roosevelt	Henry Wallace	Democratic	27,314,449	449	1940.0
Wendell Willkie	Charles McNary	Republican	22,348,343	82	1940.0
Other (+)	 - 	 - 	250,060	0	1940.0
Franklin Roosevelt	Harry Truman	Democratic	25,612,916	432	1944.0
Thomas Dewey	John Bricker	Republican	22,017,929	99	1944.0
No Candidate	-	Texas Regulars	135,439	0	1944.0
Other (+)	 - 	 - 	210,808	0	1944.0
Harry Truman	Alben Barkley	Democratic	24,179,347	303	1948.0
Thomas Dewey	Earl Warren	Republican	21,991,292	189	1948.0
J. Strom Thurmond	Fielding Wright	State's Rights	1,175,946	39	1948.0
Henry Wallace	Glen Taylor	Progressive	1,157,328	0	1948.0
Norman Thomas	Tucker Smith	Socialist	139,570	0	1948.0
Other (+)	 - 	 - 	151,227	0	1948.0
Dwight Eisenhower	Richard Nixon	Republican	34,075,529	442	1952.0
Adlai Stevenson	John Sparkman	Democratic	27,375,090	89	1952.0
Other (+)	 - 	 - 	301,323	0	1952.0
Dwight Eisenhower	Richard Nixon	Republican	35,579,180	457	1956.0
Adlai Stevenson	Estes Kefauver	Democratic	26,028,028	73	1956.0
Unpledged Elector	-	Independent	196,318	0	1956.0
Other (+)	 - 	 - 	218,453	0	1956.0
John Kennedy	Lyndon Johnson	Democratic	34,220,984	303	1960.0
Richard Nixon	Henry Lodge	Republican	34,108,157	219	1960.0
Unpledged Electors	-	Democratic	286,359	15	1960.0
Other (+)	 - 	 - 	216,983	0	1960.0
Lyndon Johnson	Hubert Humphrey	Democratic	43,129,040	486	1964.0
Barry Goldwater	William Miller	Republican	27,175,754	52	1964.0
Unpledged Elector	-	-	210,732	0	1964.0
Other (+)	 - 	 - 	126,013	0	1964.0
Richard Nixon	Spiro Agnew	Republican	31,783,783	301	1968.0
Hubert Humphrey	Edmund Muskie	Democratic	31,271,839	191	1968.0
George Wallace	Curtis LeMay	American Ind.	9,901,118	46	1968.0
Other (+)	 - 	 - 	243,259	0	1968.0
Richard Nixon	Spiro Agnew	Republican	47,168,710	520	1972.0
George McGovern	R. Sargent Shriver	Democratic	29,173,222	17	1972.0
John Hospers	Theodora Nathan	Libertarian	3,674	1	1972.0
John Schmitz	Thomas Anderson	American	1,100,896	0	1972.0
Other (+)	 - 	 - 	297,528	0	1972.0
James Carter	Walter Mondale	Democratic	40,831,881	297	1976.0
Gerald Ford	Robert Dole	Republican	39,148,634	240	1976.0
Eugene McCarthy	-	Independent	744,763	0	1976.0
Other (+)	 - 	 - 	815,502	0	1976.0
Ronald Reagan	George Bush	Republican	43,903,230	489	1980.0
James Carter	Walter Mondale	Democratic	35,480,115	49	1980.0
John Anderson	Patrick Lucey	Independent	5,719,850	0	1980.0
Edward Clark	David Koch	Libertarian	921,128	0	1980.0
Barry Commoner	LaDonna Harris	Citizens	233,052	0	1980.0
Other (+)	 - 	 - 	252,303	0	1980.0
Ronald Reagan	George Bush	Republican	54,455,472	525	1984.0
Walter Mondale	Geraldine Ferraro	Democratic	37,577,352	13	1984.0
Other (+)	 - 	 - 	620,409	0	1984.0
George Bush	J. Danforth Quayle	Republican	48,886,597	426	1988.0
Michael Dukakis	Lloyd Bentsen	Democratic	41,809,476	111	1988.0
Ron Paul	Andre Marrou	Libertarian	431,750	0	1988.0
Other (+)	 - 	 - 	466,863	0	1988.0
William Clinton	Albert Gore Jr.	Democratic	44,909,806	370	1992.0
George Bush	J. Danforth Quayle	Republican	39,104,550	168	1992.0
H. Ross Perot	James Stockdale	Independent	19,743,821	0	1992.0
Andre Marrou	Nancy Lord	Libertarian	290,087	0	1992.0
Other (+)	 - 	 - 	378,347	0	1992.0
William Clinton	Albert Gore Jr.	Democratic	47,400,125	379	1996.0
Robert Dole	Jack Kemp	Republican	39,198,755	159	1996.0
H. Ross Perot	Pat Choate	Reform	8,085,402	0	1996.0
Ralph Nader	Winona LaDuke	Green	685,435	0	1996.0
Harry Browne	Jo Jorgensen	Libertarian	485,798	0	1996.0
Other (+)	 - 	 - 	420,125	0	1996.0
George W. Bush	Richard Cheney	Republican	50,462,412	271	2000.0
Albert Gore Jr.	Joseph Lieberman	Democratic	51,009,810	266	2000.0
Ralph Nader	Winona LaDuke	Green	2,883,443	0	2000.0
Patrick Buchanan	Ezola Foster	Reform	449,181	0	2000.0
Harry Browne	Art Olivier	Libertarian	384,532	0	2000.0
Other (+)	 - 	 - 	236,607	0	2000.0
George W. Bush	Richard Cheney	Republican	62,039,572	286	2004.0
John Kerry	John Edwards	Democratic	59,027,115	251	2004.0
Ralph Nader	Peter Camejo	Independent	465,642	0	2004.0
Michael Badnarik	Richard Campagna	Libertarian	397,265	0	2004.0
Other (+)	 - 	 - 	373,996	0	2004.0
Barack H. Obama	Joseph R. Biden, Jr.	Democratic	69,499,428	365	2008.0
John S. McCain, III	Sarah H. Palin	Republican	59,950,323	173	2008.0
Ralph Nader	Matt Gonzalez	Independent	739,278	0	2008.0
Bob Barr	Wayne Allyn Root	Libertarian	523,433	0	2008.0
Other (+)	 - 	 - 	761,243	0	2008.0
Barack H. Obama	Joseph R. Biden, Jr.	Democratic	65,918,507	332	2012.0
Willard Mitt Romney	Paul Ryan	Republican	60,934,407	206	2012.0
Gary Johnson	James P. Gray	Libertarian	1,275,923	0	2012.0
Jill Stein	Cheri Honkala	Green	469,015	0	2012.0
Other (+)	 - 	 - 	639,790	0	2012.0
